districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;45391;40200;3901;732;36;30;87;46;13;19;327
Альшеевский;43304;17001;9811;14030;674;39;1087;97;20;53;492
Архангельский;18424;8362;7095;1960;437;23;45;6;2;102;392
Аскинский;21259;14642;2246;4125;17;101;8;2;27;7;84
Аургазинский;36873;6986;2377;15568;10816;26;440;375;1;6;278
Баймакский;58423;48666;6947;2030;96;31;86;47;8;11;501
Бакалинский;28745;4964;6400;15360;865;769;65;131;9;11;171
Балтачевский;21455;10962;539;6701;8;2701;8;1;488;6;41
Белебеевский;101485;12158;46248;23230;13660;798;1683;1666;164;200;1678
Белокатайский;19688;8588;9759;1059;29;21;42;6;13;12;159
Белорецкий;105971;32645;63388;7257;162;375;514;95;45;113;1377
Бижбулякский;26028;5730;3059;6805;9199;17;74;934;2;39;169
Бирский;60958;7228;30884;9232;117;12470;253;24;157;59;534
Благоварский;25984;11131;5675;7361;91;108;730;21;16;34;817
Благовещенский;48900;7623;29844;6820;236;3264;262;61;72;81;637
Буздякский;30296;9213;2236;18239;109;62;89;12;3;14;319
Бураевский;25042;17401;538;5458;10;452;22;1;1071;1;88
Бурзянский;16673;16040;357;211;7;3;5;0;1;1;48
Гафурийский;33620;15474;7650;7281;2621;19;166;25;8;18;358
Давлекановский;41742;15146;15059;7321;1436;36;1376;322;7;126;913
Дуванский;30786;6288;19673;3946;44;55;74;478;13;11;204
Дюртюлинский;63796;22965;4746;31430;111;3874;105;19;58;27;461
Ермекеевский;17135;4898;2021;6232;2477;16;71;575;517;18;310
Зианчуринский;27384;19328;4144;3221;279;3;60;18;0;9;322
Зилаирский;16549;9348;5994;527;468;2;36;10;25;5;134
Иглинский;49414;15830;18912;6147;2211;425;665;110;39;4103;972
Илишевский;34611;27281;674;5312;24;891;24;3;215;5;182
Ишимбайский;88822;36834;37510;10909;1574;43;568;163;20;177;1024
Калтасинский;25976;2644;4933;3646;23;11912;43;14;2616;16;129
Караидельский;27903;13120;5529;7495;42;1504;35;4;11;5;158
Кармаскалинский;51130;20236;8418;16318;4762;53;238;481;8;47;569
Кигинский;19111;7924;1062;9825;11;25;35;4;5;6;214
Краснокамский;27954;8752;4105;7220;35;7396;79;10;114;18;225
Кугарчинский;31364;17294;9057;4069;353;14;152;170;3;21;231
Куюргазинский;25105;10707;8205;3675;1824;11;235;58;4;17;369
Кушнаренковский;27396;8950;4019;13568;47;65;42;11;241;20;433
Мелеузовский;87299;28923;39145;13019;2973;90;1025;376;18;87;1643
Мечетлинский;24979;14926;3845;5886;15;35;43;4;6;2;217
Мишкинский;25227;1230;1788;4027;12;18038;26;2;15;3;86
Миякинский;28023;12047;1706;11091;2611;16;302;18;3;5;224
Нуримановский;20805;7786;4718;5824;71;2126;70;5;3;24;178
Салаватский;26513;17646;2660;5934;32;33;31;8;9;2;158
Стерлибашевский;20167;7300;1197;10958;457;6;74;43;0;8;124
Стерлитамакский;40276;8719;14351;9329;4938;54;1056;803;11;60;955
Татышлинский;25143;15114;467;3754;6;316;8;1;5399;1;77
Туймазинский;130340;43903;29739;50205;1978;1768;688;277;45;139;1598
Уфимский;66571;9318;30085;22568;1341;373;830;520;42;145;1349
Учалинский;72819;46852;13248;11543;117;46;240;36;26;100;611
Федоровский;18429;3687;4265;5879;2244;8;197;1924;1;11;213
Хайбуллинский;33340;25863;5945;681;232;31;286;27;56;6;213
Чекмагушевский;30745;9429;648;19308;965;160;44;4;3;3;181
Чишминский;52039;9735;10489;28599;274;70;1295;779;15;58;725
Шаранский;22425;5589;2600;7404;2180;4414;37;18;2;4;177
Янаульский;48023;20805;5622;10950;54;3319;61;7;6765;20;420
Уфа;1011062;172794;494723;286409;9420;9134;12485;2741;746;3957;18653
Агидель;14288;3165;2318;7662;120;611;72;21;213;11;95
Кумертау;63740;11496;38914;8302;2362;51;1251;344;23;132;865
Нефтекамск;132440;34136;39368;41701;364;13123;630;105;1687;156;1170
Октябрьский;108592;14406;44379;41346;1978;1341;1385;818;189;187;2563
Салават;155246;27890;85229;32351;3227;330;2381;1198;59;508;2073
Сибай;57228;30307;20382;4734;203;47;372;82;21;71;1009
Стерлитамак;269118;42497;133115;64310;14309;449;5104;4091;94;486;4663
Баймак;17683;12660;3759;899;22;10;48;11;4;6;264
Белебей;59833;7453;28112;13799;7502;273;1039;581;90;133;851
Белорецк;67678;12791;47104;5835;77;317;364;53;26;78;1033
Бирск;43233;6305;23164;7270;86;5648;186;17;142;39;376
Благовещенск;33638;4712;21138;5216;181;1605;168;43;46;64;465
Давлеканово;23386;6076;11026;4175;301;10;1021;192;6;87;492
Дюртюли;31318;7267;2995;20062;67;506;76;15;38;22;270
Ишимбай;63946;18991;33209;9411;571;38;486;143;18;156;923
Мелеуз;60346;17558;28927;9514;2298;79;773;254;14;70;859
Туймазы;66049;14500;16669;30900;1113;1416;394;119;17;83;838
Учалы;37392;18769;9942;7818;89;34;194;30;20;72;424
Янаул;26825;10574;4424;8034;42;1044;44;5;2405;17;236
